Date,6857.T,8267.T,5201.T,2802.T,6770.T,6113.T,9202.T,8304.T,2502.T,3407.T
2015-06-15,1198.5966796875,1519.7034912109375,3193.474853515625,2342.136474609375,3161.538330078125,1088.74951171875,2967.624755859375,3500.722900390625,3657.495361328125,877.7496337890625
2015-06-16,1186.8809814453125,1505.414306640625,3185.179931640625,2412.313232421875,3170.7685546875,1085.4451904296875,2952.106689453125,3470.41455078125,3645.5595703125,868.3114624023438
2015-06-17,1171.560791015625,1513.25048828125,3114.674560546875,2423.3935546875,3170.7685546875,1073.88037109375,2924.721435546875,3462.83642578125,3626.55224609375,857.929443359375
2015-06-18,1145.426025390625,1500.8050537109375,3064.90625,2399.38623046875,3263.07666015625,1064.79345703125,2857.171875,3432.52783203125,3570.411865234375,846.0888671875
2015-06-19,1140.018798828125,1493.4300537109375,3114.674560546875,2452.94140625,3286.153564453125,1065.6197509765625,2872.690185546875,3508.30126953125,3550.961181640625,861.4473266601562
2015-06-22,1146.3271484375,1524.3126220703125,3069.053955078125,2442.322998046875,3318.461181640625,1069.75,2934.762939453125,3538.610595703125,3566.433349609375,876.0335083007812
2015-06-23,1188.68359375,1546.8988037109375,3073.201416015625,2465.407470703125,3447.692138671875,1083.79296875,3010.528076171875,3584.07421875,3620.804931640625,877.3206176757812
2015-06-24,1168.8572998046875,1547.8204345703125,3176.88525390625,2512.03759765625,3530.76904296875,1099.4881591796875,3028.78466796875,3606.806884765625,3647.769775390625,893.19384765625
2015-06-25,1198.5966796875,1533.9925537109375,3193.474853515625,2487.56787109375,3613.845703125,1108.5748291015625,3009.615234375,3576.4970703125,3610.63818359375,873.8885498046875
2015-06-26,1176.968017578125,1525.6956787109375,3193.474365234375,2507.882568359375,3586.153564453125,1118.487548828125,3005.051025390625,3584.138916015625,3557.27880859375,893.19384765625
2015-06-29,1124.6983642578125,1500.3441162109375,3071.778564453125,2441.861328125,3466.153076171875,1076.358154296875,2947.54248046875,3484.79150390625,3466.123779296875,869.16943359375
2015-06-30,1148.129638671875,1601.7498779296875,3084.367919921875,2448.32470703125,3484.615234375,1068.923828125,3031.5234375,3530.643798828125,3461.677001953125,862.7342529296875
